"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"29","Au Revoir les Enfants",29,"-1987","PG","104 min","Drama, War",8,88,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.","Director:
Louis Malle
                 | 
    Stars:
Gaspard Manesse, 
Raphael Fejtö, 
Francine Racette, 
Stanislas Carré de Malberg","",""
"30","Vivre Sa Vie",30,"-1962","X","83 min","Drama",7.8,NA,"Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.","Director:
Jean-Luc Godard
                 | 
    Stars:
Anna Karina, 
Sady Rebbot, 
André S. Labarthe, 
Guylaine Schlumberger","",""
"31","The Rules of the Game",31,"-1939","PG","110 min","Comedy, Drama",7.9,99,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","Director:
Jean Renoir
                 | 
    Stars:
Marcel Dalio, 
Nora Gregor, 
Paulette Dubost, 
Mila Parély","",""
"32","Jean de Florette",32,"-1986","PG","120 min","Comedy, Drama",8.1,NA,"A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.","Director:
Claude Berri
                 | 
    Stars:
Yves Montand, 
Gérard Depardieu, 
Daniel Auteuil, 
Elisabeth Depardieu","",""
"33","The Red Circle",33,"-1970","A","140 min","Crime, Drama, Thriller",7.9,92,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Alain Delon, 
Bourvil, 
Gian Maria Volontè, 
Yves Montand","",""
"34","Lift to the Scaffold",34,"-1958","A","91 min","Crime, Drama, Thriller",7.9,94,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.","Director:
Louis Malle
                 | 
    Stars:
Jeanne Moreau, 
Maurice Ronet, 
Georges Poujouly, 
Yori Bertin","",""
"35","Manon des Sources",35,"-1986","PG","113 min","Drama, Western",8,NA,"A beautiful but shy shepherdess plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.","Director:
Claude Berri
                 | 
    Stars:
Yves Montand, 
Emmanuelle Béart, 
Daniel Auteuil, 
Hippolyte Girardot","",""
"36","Day for Night",36,"-1973","AA","116 min","Comedy, Drama, Romance",8,NA,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.","Director:
François Truffaut
                 | 
    Stars:
Jacqueline Bisset, 
Jean-Pierre Léaud, 
François Truffaut, 
Valentina Cortese","",""
"37","Sans Soleil",37,"-1983","15","104 min","Documentary, Drama",7.8,NA,"A woman narrates the contemplative writings of a seasoned world traveler, focusing on contemporary Japan.","Director:
Chris Marker
                 | 
    Stars:
Amilcar Cabral, 
Florence Delay, 
Arielle Dombasle, 
Riyoko Ikeda","",""
"38","La Grande Vadrouille",38,"-1966","U","132 min","Adventure, Comedy, War",7.9,NA,"Several ordinary Frenchmen go on an epic voyage through the occupied country to the free zone as they help British pilots avoid Nazi captivity.","Director:
Gérard Oury
                 | 
    Stars:
Bourvil, 
Louis de Funès, 
Claudio Brook, 
Andréa Parisy","",""
"39","Orpheus",39,"-1950","A","112 min","Drama, Fantasy, Romance",7.9,NA,"A poet in love with Death follows his unhappy wife into the underworld.","Director:
Jean Cocteau
                 | 
    Stars:
Jean Marais, 
François Périer, 
María Casares, 
Marie Déa","",""
"40","Madame de...",40,"-1953","A","105 min","Drama, Romance",7.9,NA,"When an aristocratic woman known only as ""Madame de . . ."" sells a pair of earrings given to her by her husband in order to pay some debts, she sets off a chain reaction of financial and carnal consequences that can end only in despair.","Director:
Max Ophüls
                 | 
    Stars:
Charles Boyer, 
Danielle Darrieux, 
Vittorio De Sica, 
Jean Debucourt","",""
"41","Le Feu Follet",41,"-1963","X","108 min","Drama",7.9,NA,"Depressed Alain Leroy leaves the clinic where he was detoxified. He meets friends, acquaintances and women, trying to find a reason to continue living. Will this help him?","Director:
Louis Malle
                 | 
    Stars:
Maurice Ronet, 
Léna Skerla, 
Yvonne Clech, 
Hubert Deschamps","",""
"42","Second Wind",42,"-1966","","150 min","Crime, Drama",7.9,NA,"A gangster escapes jail and quickly makes plans to continue his criminal ways elsewhere, but a determined inspector is closing in.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Lino Ventura, 
Paul Meurisse, 
Raymond Pellegrin, 
Christine Fabréga","",""
"43","The Mother and the Whore",43,"-1973","X","215 min","Drama, Romance",7.8,89,"The chauvinist Alexandre balances relationships with several women, including the maternal Marie and the sexually liberated Veronika, in the post-1968 intellectual scene of Paris.","Director:
Jean Eustache
                 | 
    Stars:
Bernadette Lafont, 
Jean-Pierre Léaud, 
Françoise Lebrun, 
Isabelle Weingarten","",""
"44","The Artist",44,"(I) (2011)","PG","100 min","Comedy, Drama, Romance",7.9,89,"An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.","Director:
Michel Hazanavicius
                 | 
    Stars:
Jean Dujardin, 
Bérénice Bejo, 
John Goodman, 
James Cromwell","",""
"45","A Prophet",45,"-2009","18","155 min","Crime, Drama",7.8,90,"A young Algerian man is sent to a French prison.","Director:
Jacques Audiard
                 | 
    Stars:
Tahar Rahim, 
Niels Arestrup, 
Adel Bencherif, 
Reda Kateb","",""
"46","Amour",46,"-2012","12A","127 min","Drama",7.9,95,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","Director:
Michael Haneke
                 | 
    Stars:
Jean-Louis Trintignant, 
Emmanuelle Riva, 
Isabelle Huppert, 
Alexandre Tharaud","",""
"47","Three Colors: Blue",47,"-1993","15","94 min","Drama, Music, Mystery",7.9,87,"A woman struggles to find a way to live her life after the death of her husband and child.","Director:
Krzysztof Kieslowski
                 | 
    Stars:
Juliette Binoche, 
Zbigniew Zamachowski, 
Julie Delpy, 
Benoît Régent","",""
